merchant	variety 
consequence	horror 
dainties	directions 
princes	swords 
impression	reflections 
grapes	months 
impression	might 
Africa	entertainment 
night	settlement 
child	island 
forecastle	integrity 
muskets	things 
extravagances	might 
incidents	observations 
fortification	things 
circumstances	creature 
length	product 
event	smith 
sword	while 
conscience	person 
danger	performance 
months	resolution 
arrows	deliverance 
fever	she-goat 
firearms	grapes 
allurement	hundreds 
particulars	travellers 
Friday	conspiracy 
danger	smith 
necessaries	night 
solitaire	years 
mountains	rover 
month	prisoners 
Flanders	grotto 
morning	wolves 
country	wickedness 
cellar	while 
Friday	Senegal 
nature	years 
shelf	smith 
creatures	degree 
merchant	negroes 
negroes	office 
murderers	strength 
Augustine	river 
invention	tortoise 
barley	discomposure 
Irishman	judgments 
criminals	salvation 
laboriousness	remorse 
England	creature 
possibility	years 
fellow	night 
herbage	things 
bullet	difficulty 
consideration	vessel 
deliverance	linen 
Nicaragua	lemons 
extremities	goats 
prudence	wolves 
courage	death 
belief	difficulty 
business	transaction 
commander	fortune 
goods	husbandry 
hundreds	wretch 
sailor	variety 
apprehension	climates 
Governor	yards 
handful	length 
Toulouse	apparitions 
month	wolves 
ideas	knowledge 
candour	horror 
cargo	river 
Spaniard	vessels 
enemy	thankfulness 
hatchet	improvement 
heart	society 
muskets	victory 
sustenance	woods 
employment	thoughts 
difficulty	resolutions 
Orinoco	creature 
Governor	ammunition 
absence	years 
equipage	history 
hurricanes	might 
discoveries	nature 
gospel	might 
religion	thankfulness 
beast	likelihood 
business	knowledge 
Brazils	creature 
grapes	years 
negroes	settlement 
Groyne	providence 
biscuit	pistols 
advice	governor 
goats	reflection 
captivity	expedition 
attention	nations 
danger	woods 
direction	hours 
consideration	prisoners 
Heaven	hatchet 
Egypt	night 
necessity	sally 
boughs	wretches 
gentlewoman	resolutions 
Turks	discovery 
protection	sailors 
contemplation	qualities 
diameter	friend 
acquaintance	liberty 
ocean	quantity 
Christ	Roads 
mathematics	things 
Brazil	Europe 
things	vessel 
frigate	reflux 
January	October 
carrion	creatures 
grapes	kings 
business	discovery 
impression	sickness 
Friday	Heaven 
contemplation	peace 
creature	heart 
Africa	breastwork 
cruelties	redemption 
Providence	might 
manner	negroes 
difficulty	rivulet 
charity	intelligence 
America	iniquity 
mankind	thing 
inquiry	prisoners 
cookery	supposition 
Spaniards	expectation 
goodness	wretch 
goodness	waistcoats 
Friday	Madrid 
Islands	gridiron 
offence	pitchers 
creatures	slavery 
manner	miseries 
creek	topmast 
extent	valley 
defence	night 
Providence	operations 
hundredweight	person 
equinox	moderation 
difficulty	enemies 
enclosure	intercession 
country	necessaries 
Friday	remembrance 
disposal	politics 
terror	weapon 
danger	religion 
malice	woods 
prisoners	punishments 
clearness	eagerness 
fortification	woods 
business	religion 
frigate	visitor 
barbarians	usage 
locker	manner 
broth	distinction 
Spaniard	negroes 
beasts	enemies 
Friday	money 
prisoner	providences 
Newcastle	prayers 
confinement	danger 
accidents	creek 
enemies	losses 
brutality	might 
currents	morning 
heart	plantation 
loaves	sword 
death	he-goat 
mercy	security 
apartment	creatures 
England	servant 
Nature	defence 
success	swimmer 
Virginians	religion 
affections	vessels 
Heaven	hours 
destruction	island 
business	miles 
afternoon	years 
health	wickedness 
ecstasies	tobacco 
island	necessaries 
defence	linen 
Gascony	headache 
complaint	moustachios 
affections	improvement 
capacity	receiver 
River	subsistence 
country	islands 
manor	pigeons 
appearance	supposition 
confusion	creature 
arguments	disbursements 
consequence	enemies 
defence	requital 
broth	sword 
assurances	government 
comrades	woods 
Heaven	affairs 
might	testimonies 
thoughts	vessels 
conspiracy	island 
amusement	commander 
comrade	thoughts 
encouragement	might 
Spaniards	fellow 
country	minutes 
negroes	scarcity 
remembrance	violence 
cavity	pistol 
Robinson	years 
country	dispositions 
island	knees 
Friday	misfortune 
religion	things 
degrees	island 
creatures	cutlasses 
Providence	hostages 
gospel	prisons 
arguments	degrees 
bullets	religion 
humanity	impression 
Friday	magazine 
biscuit	one-third 
abhorrence	years 
affections	goats 
dangers	relief 
colonies	musket 
Christ	vapours 
ignorance	month 
headache	providence 
London	consequence 
apprehensions	night 
amusement	testimonies 
prisoners	raisins 
expectations	length 
Friday	preservation 
vessel	women 
recovery	slavery 
country	violence 
abundance	death 
chests	might 
Nicaragua	While 
chests	possibility 
grapes	night 
capful	magazine 
Friday	governor 
importunities	island 
contraries	island 
fortune	scabbard 
Brazils	nations 
things	topmasts 
basket	might 
estate	folly 
creek	dainties 
Mexico	rites 
apparition	refreshment 
vessels	wilderness 
affection	death 
musket	talons 
monastery	savannahs 
bough	island 
moment	peace 
disbursements	sustenance 
enterprise	expedition 
business	heart 
difficulty	expedition 
affliction	justice 
conversation	heart 
dispositions	pursuit 
Heaven	interval 
months	scarcity 
creatures	difficulty 
imagination	nature 
miles	valleys 
enjoyments	melons 
laughter	might 
destruction	security 
enemy	necessaries 
presence	weeks 
Africa	goodness 
Jesus	island 
France	comparison 
Scripture	retribution 
yards	years 
Portugal	pleasure 
fortification	years 
breeches	chests 
consideration	providence 
cassava	hatchets 
America	knees 
misfortune	things 
navigation	possibility 
liberty	month 
manner	passage 
degree	drawer 
September	horror 
butt	goats 
opinion	thoughts 
thinking	thoughts 
mania	passions 
breath	hint 
rover	wanderer 
hillock	knoll 
fellows	mate 
animal	creature 
contrivances	devisal 
area	country 
condom	safety 
affairs	matter 
woods	woodwind 
inquiry	question 
country	state 
nations	state 
Black	negroes 
ferocity	violence 
brook	creek 
cipher	nobody 
animal	beasts 
destruction	end 
distance	length 
cloths	fabric 
joy	pleasures 
charwoman	women 
chap	fellows 
cognition	knowledge 
gratefulness	thankfulness 
breast	chests 
Christ	messiah 
pick	pickaxe 
data	information 
animal	beast 
affair	matter 
height	stature 
danger	risk 
Christ	Jesus 
behavior	behaviour 
liquidator	receivers 
riches	wealth 
fuse	fusee 
Nox	night 
barbarians	savage 
days	years 
deliverance	rescue 
choppiness	roughness 
defence	defense 
alarm	consternation 
nanny	she-goat 
abhorrence	detestation 
center	heart 
Capricorn	goats 
weeks	workweek 
application	lotion 
fib	stories 
impression	notion 
bloodbath	bloodshed 
hour	minutes 
hammock	knoll 
friend	supporter 
apprehensions	understanding 
idea	thoughts 
persuasiveness	strength 
farming	husbandry 
enjoyment	use 
appliance	convenience 
enmity	hostility 
amusement	entertainment 
circumstances	fortune 
language	terminology 
directions	guidance 
enemies	foe 
report	story 
mankind	world 
boyfriend	fellows 
provinces	state 
forgivingness	kindness 
aid	assistance 
impression	notions 
dawn	morning 
gratification	satisfaction 
footfall	footsteps 
firelock	flintlock 
boater	sailors 
companion	fellows 
contrivance	lash-up 
crime	offence 
rites	ritual 
chests	thorax 
Eden	Heaven 
Jesus	Redeemer 
felicity	happiness 
aught	nothing 
bitter	bitterness 
necessaries	necessity 
barbarities	brutality 
conclusions	termination 
acquaintance	friends 
forest	timber 
residence	residency 
beacon	lighthouse 
habitation	inhabitancy 
artilleryman	gunner 
animal	creatures 
eagerness	readiness 
matter	things 
ally	friend 
handmaid	servant 
nutriment	sustenance 
narrative	story 
commodity	goods 
grove	plantation 
faithfulness	fidelity 
fib	story 
difficulty	trouble 
faith	religion 
enemy	foe 
fortune	luck 
butchery	slaughter 
family	kin 
teeth	tooth 
custodian	steward 
guests	node 
maleficence	mischief 
diary	journal 
appliance	contrivances 
laborer	labourers 
judgment	opinion 
acquaintance	friend 
fabric	materials 
intensity	strength 
bullets	fastball 
boatload	shipload 
excursion	expedition 
judgment	sagacity 
heart	kernel 
chocolate	coffee 
obstacle	obstruction 
assumption	supposition 
commission	direction 
dwelling	habitation 
history	story 
dungeons	keep 
mercifulness	mercy 
good	goodness 
intention	purpose 
clemency	mercies 
grapes	grapeshot 
mariner	seamen 
anticipation	expectation 
deficiencies	insufficiency 
family	household 
capacitance	capacities 
Adam	ecstasy 
Eden	heaven 
belief	impression 
disposal	disposition 
companion	comrade 
ferocity	furies 
vest	waistcoat 
brother	buddy 
grove	plantations 
consideration	retainer 
class	years 
self-consciousness	uneasiness 
brush	brushwood 
ardor	fervour 
address	speech 
grid	gridiron 
boost	encouragement 
illness	sickness 
impetuosity	impetuousness 
proclivity	propensity 
Maker	manufacturer 
speed	swiftness 
club	society 
Scot	Scotchman 
woman	womanhood 
government	politics 
administration	government 
disposition	inclination 
firebrand	instigator 
energy	vigour 
business	occupation 
enactment	passage 
hatchets	tomahawk 
contemplation	reflection 
assortment	variety 
measure	quantity 
storm	tempests 
panic	terror 
handmaid	servants 
batch	mountains 
excitement	fervour 
chocolate	cocoa 
recourse	refuge 
monomania	possession 
consequence	moment 
court	homage 
readiness	set 
lastingness	strength 
duration	length 
darling	favourites 
language	speech 
shank	waist 
amazement	astonishment 
avarice	covetousness 
hovel	hutch 
usage	use 
judge	justice 
business	clientele 
Guinea	wop 
arm	limbs 
dispatch	expedition 
deceit	deception 
navigation	seafaring 
draftsman	drawer 
spike	spindle 
offence	offense 
brutality	ferociousness 
confinement	parturiency 
friends	supporter 
principle	rationale 
Groyne	breakwater 
concern	headache 
freak	monster 
memorial	remembrance 
liquidator	receiver 
Bible	Scripture 
regent	trustees 
thousand	yards 
example	model 
disquiet	uneasinesses 
bearing	presence 
equity	fairness 
difficulties	trouble 
hardness	severity 
nuance	subtlety 
circumstances	context 
notion	whimsies 
lumber	timber 
forte	strength 
folly	stupidity 
digression	excursion 
bullet	fastball 
imagination	resource 
hypothesis	possibility 
artlessness	innocence 
retribution	vengeance 
fellow	mate 
paragon	perfection 
mercies	mercifulness 
accession	addition 
horror	repugnance 
resolutions	solution 
barrel	casks 
Story	narrative 
notice	observation 
brow	forehead 
leaning	propensity 
bloomers	drawers 
resolution	solution 
boater	sailor 
agency	authority 
quietness	tranquillity 
clemency	mercy 
judgments	sagacity 
creation	universe 
cooking	preparation 
discretion	prudence 
Adam	ecstasies 
inclination	tendency 
case	examples 
battalion	multitude 
forest	woods 
depression	impression 
comforts	conveniences 
offence	umbrage 
behaviour	demeanor 
companion	comrades 
aptness	propensity 
discourtesy	offences 
dolphin	dolphinfish 
booty	loot 
Mahomet	Mohammed 
dawn	daybreak 
offences	offense 
victors	winner 
lunatic	madman 
Saviour	savior 
vest	waistcoats 
nation	state 
diverseness	variety 
calamity	disaster 
scene	scenery 
impression	stamp 
hatchet	tomahawk 
fireplace	hearth 
memo	memorandum 
blues	vapours 
pit	pitfall 
traveler	travellers 
instructor	teacher 
chest	thorax 
indolence	laziness 
convalescence	recovery 
Godhead	Maker 
confinement	restriction 
haste	hurry 
employment	use 
execution	performance 
examples	exemplar 
bouquet	sweetness 
diligence	industry 
hayfield	meadows 
sea-coast	seashore 
inclination	tilt 
dame	gentlewoman 
company	society 
potency	strength 
brush	thicket 
faculties	staff 
familiarity	liberty 
doors	doorway 
disclosure	revelation 
ploy	stratagem 
hilarity	mirth 
curio	curiosity 
direction	steering 
conclusion	decision 
injury	wound 
nausea	sickness 
evil	iniquity 
acme	height 
narrative	stories 
perspective	position 
ill-usage	maltreatment 
captivity	enslavement 
bowels	intestine 
lookout	sentinel 
passions	rage 
malevolence	malice 
brother	comrade 
easing	relief 
conservation	preservation 
doctor	physician 
family	syndicate 
bark	barque 
vapor	vapours 
caution	precautions 
barbarians	peasant 
amusements	entertainment 
gentleman	valet 
contraries	reverse 
footlocker	lockers 
disbursements	expense 
cadaver	corpse 
Amerind	Indians 
detail	particulars 
acknowledgments	recognition 
breadth	width 
billy	he-goat 
cabinet	lockers 
edginess	uneasiness 
death	end 
Temple	synagogue 
looting	robberies 
appointee	appointment 
gamboge	lemons 
kind	variety 
matter	thing 
celerity	rapidity 
disposal	dispositions 
support	sustenance 
adversity	hardships 
idolatry	veneration 
fortunes	luck 
patience	solitaire 
calamity	disasters 
compunction	remorse 
sin	wickedness 
possession	self-control 
privacy	secrecy 
pleasantness	sweetness 
timber	timbre 
pitting	roughness 
breastwork	parapet 
boyfriend	fellow 
guess	supposition 
campsite	encampment 
